Datum;Reihenfolge;Zahl1;Zahl2;Zahl3;Zahl4;Zahl5;Zahl6;ZZ;Zusatzzahl;Rang_1_5;Anzahl_1_5;a_1_5;Quote_1_5;Rang_2_6;Anzahl_2_6;a_2_6;Quote_2_6;Rang_3_7;Anzahl_3_7;a_3_7;Quote_3_7;Rang_4_8;Anzahl_4_8;a_4_8;Quote_4_8;
02.01.;aufsteigend;2;10;12;13;26;28;ZZ;35;6er;DJP;;       1.700.309,50;5er + ZZ;               1;à;         116.533,50;5er;             140;à;             908,00;4er + ZZ;             258;à;             147,80;
02.01.;;;;;;;;;;4er;           6.109;à;              34,60;3er + ZZ;           5.915;à;              16,10;3er;          87.266;à;               4,30;ZZ;         203.938;à;               1,20;
06.01.;aufsteigend;3;23;24;34;36;39;ZZ;18;6er;               1;à;       2.772.854,10;5er + ZZ;               1;à;         147.474,80;5er;             128;à;           1.256,80;4er + ZZ;             298;à;             161,90;
06.01.;;;;;;;;;;4er;           5.347;à;              50,10;3er + ZZ;           7.301;à;              16,50;3er;          90.750;à;               5,30;ZZ;         275.671;à;               1,20;
09.01.;aufsteigend;1;8;21;31;33;39;ZZ;38;6er;JP;;         678.363,70;5er + ZZ;               1;à;          93.275,00;5er;              74;à;           1.375,00;4er + ZZ;             151;à;             202,10;
09.01.;;;;;;;;;;4er;           3.560;à;              47,60;3er + ZZ;           4.294;à;              17,70;3er;          60.923;à;               5,00;ZZ;         161.923;à;               1,20;
13.01.;aufsteigend;8;11;15;16;20;30;ZZ;42;6er;               1;à;       1.633.755,50;5er + ZZ;               3;à;          43.788,70;5er;             124;à;           1.155,70;4er + ZZ;             246;à;             174,70;
13.01.;;;;;;;;;;4er;           6.020;à;              39,60;3er + ZZ;           6.710;à;              16,00;3er;          92.340;à;               4,60;ZZ;         234.836;à;               1,20;
16.01.;aufsteigend;3;17;18;32;38;43;ZZ;39;6er;JP;;         680.060,50;5er + ZZ;               2;à;          46.754,10;5er;              79;à;           1.291,20;4er + ZZ;             197;à;             155,30;
16.01.;;;;;;;;;;4er;           3.443;à;              49,30;3er + ZZ;           5.596;à;              13,60;3er;          57.749;à;               5,30;ZZ;         170.378;à;               1,20;
20.01.;aufsteigend;1;7;19;22;36;42;ZZ;17;6er;               1;à;       1.638.353,90;5er + ZZ;               3;à;          43.921,70;5er;             116;à;           1.239,10;4er + ZZ;             291;à;             148,10;
20.01.;;;;;;;;;;4er;           5.420;à;              44,20;3er + ZZ;           7.051;à;              15,20;3er;          85.227;à;               5,00;ZZ;         264.597;à;               1,20;
23.01.;aufsteigend;1;12;28;36;40;41;ZZ;8;6er;JP;;         664.479,60;5er + ZZ;               3;à;          30.455,30;5er;              77;à;           1.294,40;4er + ZZ;             188;à;             159,00;
23.01.;;;;;;;;;;4er;           3.121;à;              53,20;3er + ZZ;           5.062;à;              14,70;3er;          52.101;à;               5,70;ZZ;         194.325;à;               1,20;
27.01.;aufsteigend;4;13;15;29;33;39;ZZ;2;6er;DJP;;       1.618.389,90;5er + ZZ;               5;à;          26.232,50;5er;             127;à;           1.126,60;4er + ZZ;             287;à;             149,50;
27.01.;;;;;;;;;;4er;           5.541;à;              43,00;3er + ZZ;           7.029;à;              15,20;3er;          87.156;à;               4,90;ZZ;         261.388;à;               1,20;
30.01.;aufsteigend;19;20;21;28;30;45;ZZ;16;6er;               2;à;       1.294.289,30;5er + ZZ;               3;à;          44.466,90;5er;             107;à;           1.360,00;4er + ZZ;             239;à;             182,60;
30.01.;;;;;;;;;;4er;           4.868;à;              49,80;3er + ZZ;           6.670;à;              16,30;3er;          84.287;à;               5,20;ZZ;         252.904;à;               1,20;
03.02.;aufsteigend;2;25;27;39;40;42;ZZ;34;6er;JP;;         792.331,50;5er + ZZ;JP;;         108.945,50;5er;              79;à;           1.504,40;4er + ZZ;             176;à;             202,50;
03.02.;;;;;;;;;;4er;           3.739;à;              52,90;3er + ZZ;           4.962;à;              17,90;3er;          64.504;à;               5,50;ZZ;         194.274;à;               1,20;
06.02.;aufsteigend;13;15;19;26;30;44;ZZ;8;6er;               3;à;         552.103,70;5er + ZZ;               1;à;         227.742,70;5er;              76;à;           1.705,20;4er + ZZ;             227;à;             171,20;
